Region,EU,EU,EU,EU,EU,EU,EU,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East
Level,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob)
Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Pollutants,15069178003.19052,132089924.3912759,185689831.91026726,0.0,0.0,0.0,0.0,167546985000.59863,2162838189.609199,4532942425.361539,0.0,0.0,0.0,0.0,29453361127.1833,82222210.0904828,121547860.5445481,0.0,0.0,0.0,0.0,4835675283.3078,68614737.1193465,123924296.55772,0.0,0.0,0.0,0.0,139478303.623201,2327.25790445749,4790.38997020266,0.0,0.0,0.0,0.0,4971542162.3888,49820.7321176685,1248585.69851136,0.0,0.0,0.0,0.0,50269280366.525,95833.950097562,173207048.726665,0.0,0.0,0.0,0.0,6633241903.6725,224625.42399463,3479349.67754692,0.0,0.0,0.0,0.0
CH4,405165016.3904301,38604729.56647499,64414996.52531918,0.0,0.0,0.0,0.0,5843110581.279625,151727175.15079597,238652095.32292682,0.0,0.0,0.0,0.0,105370393.838,6018233.24044,14732945.727,0.0,0.0,0.0,0.0,11748082.336,383036.124315,1112221.44706,0.0,0.0,0.0,0.0,1130031.62006,1483.60408598,2571.2264207,0.0,0.0,0.0,0.0,210307475.879,2245.08802893,62192.2224468,0.0,0.0,0.0,0.0,2556770078.24,13313.9622431,8012188.92667,0.0,0.0,0.0,0.0,24367468.301,877.514870029,120431.680379,0.0,0.0,0.0,0.0
CO2,516679705053.30133,25947237022.26782,49121146099.2113,0.0,0.0,0.0,0.0,1968216230604.1,132067111762.64348,109104362648.69466,0.0,0.0,0.0,0.0,1276717281300.0,27631581300.6,48316812710.1,0.0,0.0,0.0,0.0,220489241792.0,11267745572.3,11321497949.7,0.0,0.0,0.0,0.0,5377031928.49,1998153.54318,4112966.88427,0.0,0.0,0.0,0.0,124661926921.0,402694.188713,682037.975071,0.0,0.0,0.0,0.0,293083648319.0,4387517.69616,548053925.795,0.0,0.0,0.0,0.0,363733086809.0,15429491.0991,562742292.97,0.0,0.0,0.0,0.0
High-skilled Employment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-skilled Employment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medium-skilled Employment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2O,18442387.36715317,143658.27865574195,200717.15153281263,0.0,0.0,0.0,0.0,134588002.744478,1423444.5940861257,2607220.6136512896,0.0,0.0,0.0,0.0,77904596.3832,129065.463446,227862.194504,0.0,0.0,0.0,0.0,4707077.87889,196829.168641,76812.6195652,0.0,0.0,0.0,0.0,230105.022669,3.38750180337,6.97277883633,0.0,0.0,0.0,0.0,8732196.56439,92.0851235701,2303.11475378,0.0,0.0,0.0,0.0,47989102.2065,106.770879402,170386.715347,0.0,0.0,0.0,0.0,7775826.49941,703.83128753,7860.55288789,0.0,0.0,0.0,0.0
