Region,Level,Item,production
EU,Commodity,Paddy rice,1814036445.0008664
EU,Commodity,Wheat,31719763564.613777
EU,Commodity,Cereal grains nec,35273735589.99899
EU,Commodity,"Vegetables, fruit, nuts",111305633596.85744
EU,Commodity,Oil seeds,26088447843.471924
EU,Commodity,"Sugar cane, sugar beet",4797047935.629967
EU,Commodity,Plant-based fibers,1020137530.875201
EU,Commodity,Crops nec,34490428411.36168
EU,Commodity,Cattle,26373773127.945015
EU,Commodity,Pigs,36522152818.740944
EU,Commodity,Poultry,35538570552.27353
EU,Commodity,Meat animals nec,14223727989.753038
EU,Commodity,Animal products nec,1755163802.110486
EU,Commodity,Raw milk,70741148506.09422
EU,Commodity,"Wool, silk-worm cocoons",133940218.69575313
EU,Commodity,Manure (conventional treatment),0.0
EU,Commodity,Manure (biogas treatment),0.0
EU,Commodity,"Products of forestry, logging and related services (02)",47693473554.11907
EU,Commodity,Fish and other fishing products; services incidental of fishing (05),16860983902.050636
EU,Commodity,Anthracite,2160199931.555421
EU,Commodity,Coking Coal,2545203942.3815336
EU,Commodity,Other Bituminous Coal,12395529181.240067
EU,Commodity,Sub-Bituminous Coal,157676261.60335493
EU,Commodity,Patent Fuel,19761096.7459745
EU,Commodity,Lignite/Brown Coal,5449006372.349892
EU,Commodity,BKB/Peat Briquettes,1352857646.2183194
EU,Commodity,Peat,785096723.3787646
EU,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",16458533271.380054
EU,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",11983964852.217312
EU,Commodity,Natural Gas Liquids,508058692.818979
EU,Commodity,Other Hydrocarbons,747472561.4640561
EU,Commodity,Uranium and thorium ores (12),522005457.2399478
EU,Commodity,Iron ores,609984407.5675728
EU,Commodity,Copper ores and concentrates,7839507068.854783
EU,Commodity,Nickel ores and concentrates,162582643.1654903
EU,Commodity,Aluminium ores and concentrates,230414336.39206666
EU,Commodity,Precious metal ores and concentrates,533046538.37853533
EU,Commodity,"Lead, zinc and tin ores and concentrates",1277134200.8791049
EU,Commodity,Other non-ferrous metal ores and concentrates,1638067940.9235091
EU,Commodity,Stone,20527355515.60092
EU,Commodity,Sand and clay,26915142689.237362
EU,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",6628407346.258296
EU,Commodity,Products of meat cattle,40709164413.20295
EU,Commodity,Products of meat pigs,45286475276.45569
EU,Commodity,Products of meat poultry,58273894145.14091
EU,Commodity,Meat products nec,104407335578.39172
EU,Commodity,products of Vegetable oils and fats,36920668542.18686
EU,Commodity,Dairy products,175210798476.00616
EU,Commodity,Processed rice,2744793659.7505217
EU,Commodity,Sugar,17228699964.52389
EU,Commodity,Food products nec,499598494682.2739
EU,Commodity,Beverages,144813046529.8716
EU,Commodity,Fish products,39958300656.77026
EU,Commodity,Tobacco products (16),23112843017.74276
EU,Commodity,Textiles (17),140468868998.29495
EU,Commodity,Wearing apparel; furs (18),126168733937.90189
EU,Commodity,Leather and leather products (19),64309780402.38475
EU,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),170434260305.66458
EU,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
EU,Commodity,Pulp,60580317761.841034
EU,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
EU,Commodity,Paper and paper products,131435554433.28067
EU,Commodity,Printed matter and recorded media (22),283889149652.58704
EU,Commodity,Coke Oven Coke,4664997376.585229
EU,Commodity,Gas Coke,0.0
EU,Commodity,Coal Tar,442092879.67434186
EU,Commodity,Motor Gasoline,142392392021.56235
EU,Commodity,Aviation Gasoline,92246816.58822598
EU,Commodity,Gasoline Type Jet Fuel,27693348.904047776
EU,Commodity,Kerosene Type Jet Fuel,20149443052.729897
EU,Commodity,Kerosene,5426062117.311119
EU,Commodity,Gas/Diesel Oil,137552765523.58707
EU,Commodity,Heavy Fuel Oil,22840408449.765743
EU,Commodity,Refinery Gas,686266667.6289121
EU,Commodity,Liquefied Petroleum Gases (LPG),9882222007.98194
EU,Commodity,Refinery Feedstocks,8235473831.119807
EU,Commodity,Ethane,27229337.493063606
EU,Commodity,Naphtha,11298834358.337671
EU,Commodity,White Spirit & SBP,2010578026.8582883
EU,Commodity,Lubricants,5916312540.750409
EU,Commodity,Bitumen,3596257263.3168187
EU,Commodity,Paraffin Waxes,618536254.8642808
EU,Commodity,Petroleum Coke,487849312.52754486
EU,Commodity,Non-specified Petroleum Products,2301338039.1258373
EU,Commodity,Nuclear fuel,3948628792.2756047
EU,Commodity,"Plastics, basic",303331552972.5696
EU,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
EU,Commodity,N-fertiliser,1132431803.690746
EU,Commodity,P- and other fertiliser,8176134350.906882
EU,Commodity,Chemicals nec,205534566043.47736
EU,Commodity,Charcoal,199566603.00979146
EU,Commodity,Additives/Blending Components,353855874.10149664
EU,Commodity,Biogasoline,859330319.4522703
EU,Commodity,Biodiesels,1771445092.9443285
EU,Commodity,Other Liquid Biofuels,540241713.0669506
EU,Commodity,Rubber and plastic products (25),330985333243.63477
EU,Commodity,Glass and glass products,43486797295.69849
EU,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
EU,Commodity,Ceramic goods,31002443796.717926
EU,Commodity,"Bricks, tiles and construction products, in baked clay",15299090048.185299
EU,Commodity,"Cement, lime and plaster",135279552062.83026
EU,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0
EU,Commodity,Other non-metallic mineral products,45335708300.05059
EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,217470301905.61078
EU,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
EU,Commodity,Precious metals,19533862932.149014
EU,Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
EU,Commodity,Aluminium and aluminium products,70689021915.23093
EU,Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
EU,Commodity,"Lead, zinc and tin and products thereof",12338577785.138142
