Region,,,EU,EU,EU,EU,EU,EU,EU,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob)
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,Commodity,Paddy rice,977906210.1322597,4804614.310901363,3552148.704501929,26989.61533230801,21663300.945165407,0.0,0.0,1146317.4845657377,38.029648032643976,2486.1864134024054,0.0,4851.893298405502,0.0,0.0,30863.72450011524,0.0,0.0,0.0,17847.694714655096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104837.33867775464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366566763708125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Wheat,11131980912.151937,30753319.82086098,185729094.96322957,2808.541635141893,595102432.4476839,0.0,0.0,284038651.65121984,50544071.0418808,5823.2439063943775,219.88333448107173,1797403.20149148,0.0,0.0,21706.49141742519,0.0,0.0,0.0,3816.833711316611,0.0,0.0,0.0,0.0,636.2956549953689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39368295.407906614,0.0,0.0,0.0,0.0,0.0,0.0,249920802.12310204,267.12094056308536,487.4011870645921,0.0,0.0,0.0,0.0,182920018.28475863,750.3226814966533,636068.8242185572,0.0,0.0,0.0,0.0
EU,Commodity,Cereal grains nec,3482560784.84498,6508625.396922507,92257711.75983907,325737.97337897366,712450350.9358472,0.0,0.0,603052281.2849193,87471.70891331442,34264.408769978574,6040.026200180415,2647327.8362371502,0.0,0.0,1632838.2640398177,0.0,0.0,0.0,255372.07159530107,0.0,0.0,0.0,0.0,223828.3144270853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900373.7432712186,0.0,0.0,0.0,0.0,0.0,0.0,32841518.034467667,11.519641096800799,12.581908556018456,0.0,0.0,0.0,0.0,114975699.3615259,210.52898348586888,0.0,198237.76627964096,0.0,0.0,0.0
EU,Commodity,"Vegetables, fruit, nuts",67594277275.184074,462882256.0037975,872032264.6467795,5388310.335178971,1401847046.5158744,0.0,0.0,5933540865.827472,19343.738605808172,14016.804647456622,85959761.53796439,4025316.4496136885,0.0,0.0,208250983.00344363,0.0,0.0,0.0,2791.39178650871,0.0,0.0,85555386.48031002,0.0,939.6735154811682,0.0,2164139.4070968917,0.0,0.0,586643518.8155223,0.0,0.0,5103869.337819183,8938934.158434115,0.0,0.0,124304812.54240227,0.0,0.0,0.0,0.0,0.0,0.0,211987252.34765327,7.133284447063646,48.30049421350494,0.0,0.0,0.0,0.0,605644901.9828185,308.64136738381103,0.0,26547185.108942043,0.0,0.0,0.0
EU,Commodity,Oil seeds,4076355094.070295,9825002.812640531,27687404.39656264,43199.136581289116,448915884.9318956,0.0,0.0,158617810.87936231,715526.539778381,307872.28709740273,0.0,1605887.935050945,0.0,0.0,0.0,0.0,0.0,0.0,410193.9622796724,0.0,0.0,350883.1405061933,0.0,3112.8130153767224,0.0,145112.6999303543,0.0,0.0,2428455.254827166,0.0,0.0,0.0,14031.872447835905,0.0,0.0,45.410988840476065,0.0,0.0,0.0,0.0,0.0,0.0,151.4127044234433,0.6719998885445666,0.813398744848061,0.0,0.0,0.0,0.0,2347443.458114502,4.8680329278938705,0.0,0.0,0.0,0.0,0.0
EU,Commodity,"Sugar cane, sugar beet",0.0,0.0,1447317.7680302446,0.0,282686156.2604452,0.0,0.0,0.3611586596697933,0.4847066222990133,162.58041521980235,0.0,555.5474692313644,0.0,0.0,0.0,0.0,0.0,0.0,783.0817084584139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4535353670621878,0.0,0.0,0.0,0.0,0.0,0.0,85.88618380618206,72.3671752662065,0.8311234806997206,0.0,0.0,0.0,0.0
EU,Commodity,Plant-based fibers,364629621.36233747,80634.37452676517,391015.7494271744,21348.931041300228,4387956.6879205005,0.0,0.0,1341288.284398368,993780.773729848,74081.129759062,1891925.3514016336,578518.0924956826,0.0,0.0,0.0,0.0,0.0,0.0,326420.6647960998,0.0,0.0,734.7977237149166,0.0,4.564685751855238,0.0,23.98521592022225,0.0,0.0,61182.09071354273,0.0,0.0,0.0,0.0,0.0,0.0,37695.348939274285,0.0,0.0,0.0,0.0,0.0,0.0,39.442986648773285,0.550890006622562,43.16929334701441,0.0,0.0,0.0,0.0,313.98813446968893,6.228760641171401,397.2617938635496,0.0,0.0,0.0,0.0
EU,Commodity,Crops nec,7313604288.108277,24836067.503997646,120970657.47048526,369391028.1709712,361964022.605298,0.0,0.0,1977753020.5664697,5667229.5271806475,2682795.6791849486,115515910.86163488,31998436.364697997,0.0,0.0,16317654.986328391,0.0,0.0,0.0,7845812.247017156,0.0,0.0,372631854.55666435,0.0,1625.3214168276088,0.0,40166.60316319799,0.0,0.0,178476550.6110057,0.0,0.0,1744450.6410037,1421664.7335808494,0.0,0.0,80214934.79538773,0.0,0.0,0.0,0.0,0.0,0.0,167522054.470725,12.930974536078024,35.94012093732079,0.0,0.0,0.0,0.0,424522217.94835436,69.2955409325676,0.0,74194567.25134349,0.0,0.0,0.0
EU,Commodity,Cattle,0.0,0.0,2212511.4755783416,3105080712.5525746,375733298.86282927,0.0,0.0,0.0,25.586006594402065,462837389.72143006,200846292.19130182,28072.406058475397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940053.8730205224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140144148845547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8501074132072963,2.3338557859807523,0.0,0.0,0.0,0.0,0.1556609475652038,26.17005824556295,22.289267742889354,0.0,0.0,0.0,0.0
EU,Commodity,Pigs,0.0,0.0,9038008.517399551,3553685841.354643,1617235459.568562,0.0,0.0,33377.93703491888,422.23575582882444,2506665.01826112,305217975.3148001,1008457.0662003448,0.0,0.0,0.0,0.0,0.0,0.0,2364.7145676498917,0.0,0.0,0.0,0.0,239210.68776694892,0.0,634760.8434178273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656511428111279,0.0,0.0,0.0,0.0,0.0,0.0,0.216899878148967,1.660373128090962,0.7490283227107873,0.0,0.0,0.0,0.0,3.580365509433222,53.602746909810676,24.662695248990474,0.0,0.0,0.0,0.0
EU,Commodity,Poultry,19891966839.793396,50306510.47388811,271696960.4614129,675583237.3852152,382857120.52394295,0.0,0.0,120144913.23202291,470.22809030957217,14107547.001454096,739214.8995099901,5466197.38010926,0.0,0.0,9828.686624654376,0.0,0.0,0.0,237.35987074855524,0.0,0.0,0.0,0.0,1.3376851686277245,0.0,18.74260754487619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.65959334680635,0.0,0.0,0.0,0.0,0.0,0.0,1723.0890632245687,21.01831493612131,0.0,0.0,0.0,0.0,0.0,0.0,310.9448258956094,74.17299041031376,0.0,0.0,0.0,0.0
EU,Commodity,Meat animals nec,5928666486.570064,21706832.009928815,36178515.70558083,392594143.4336889,156074998.2571373,0.0,0.0,296990713.51306117,3086.5447571985237,54510424.93794229,21149489.34995266,4497168.191835905,0.0,0.0,0.0,0.0,0.0,0.0,80831625.4300897,0.0,0.0,0.0,0.0,3.5673054098159334,0.0,13.026193197848016,0.0,0.0,0.0,0.0,0.0,0.0,24837428.845358532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.17282653877464,35.902118226509984,0.0,0.0,0.0,0.0,69656009.47345524,2638.564991222012,569.0669806172026,5407.002154524642,0.0,0.0,0.0
