,Level,,production
EU,Commodity,Paddy rice,1814036445.000866
EU,Commodity,Wheat,31719763564.613777
EU,Commodity,Cereal grains nec,35273735589.99896
EU,Commodity,"Vegetables, fruit, nuts",111305633596.85748
EU,Commodity,Oil seeds,26088447843.471916
EU,Commodity,"Sugar cane, sugar beet",4797047935.629972
EU,Commodity,Plant-based fibers,1020137530.8752007
EU,Commodity,Crops nec,34490428411.361694
EU,Commodity,Cattle,26373773127.94502
EU,Commodity,Pigs,36522152818.74094
EU,Commodity,Poultry,35538570552.273544
EU,Commodity,Meat animals nec,14223727989.753038
EU,Commodity,Animal products nec,1755163802.1104867
EU,Commodity,Raw milk,70741148506.09422
EU,Commodity,"Wool, silk-worm cocoons",133940218.69575314
EU,Commodity,Manure (conventional treatment),0.0
EU,Commodity,Manure (biogas treatment),0.0
EU,Commodity,"Products of forestry, logging and related services (02)",47693473554.11903
EU,Commodity,Fish and other fishing products; services incidental of fishing (05),16860983902.05064
EU,Commodity,Anthracite,2160199931.555423
EU,Commodity,Coking Coal,2545203942.381532
EU,Commodity,Other Bituminous Coal,12395529181.240055
EU,Commodity,Sub-Bituminous Coal,157676261.60335493
EU,Commodity,Patent Fuel,19761096.745974515
EU,Commodity,Lignite/Brown Coal,5449006372.34989
EU,Commodity,BKB/Peat Briquettes,1352857646.218318
EU,Commodity,Peat,785096723.3787649
EU,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",16458533271.380062
EU,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",11983964852.217308
EU,Commodity,Natural Gas Liquids,508058692.8189791
EU,Commodity,Other Hydrocarbons,747472561.464056
EU,Commodity,Uranium and thorium ores (12),522005457.2399478
EU,Commodity,Iron ores,609984407.5675727
EU,Commodity,Copper ores and concentrates,7839507068.854794
EU,Commodity,Nickel ores and concentrates,162582643.1654903
EU,Commodity,Aluminium ores and concentrates,230414336.39206678
EU,Commodity,Precious metal ores and concentrates,533046538.37853533
EU,Commodity,"Lead, zinc and tin ores and concentrates",1277134200.8791053
EU,Commodity,Other non-ferrous metal ores and concentrates,1638067940.9235094
EU,Commodity,Stone,20527355515.60092
EU,Commodity,Sand and clay,26915142689.237354
EU,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",6628407346.258291
EU,Commodity,Products of meat cattle,40709164413.20295
EU,Commodity,Products of meat pigs,45286475276.45569
EU,Commodity,Products of meat poultry,58273894145.140915
EU,Commodity,Meat products nec,104407335578.39172
EU,Commodity,products of Vegetable oils and fats,36920668542.18691
EU,Commodity,Dairy products,175210798476.0062
EU,Commodity,Processed rice,2744793659.7505217
EU,Commodity,Sugar,17228699964.52389
EU,Commodity,Food products nec,499598494682.2738
EU,Commodity,Beverages,144813046529.87152
EU,Commodity,Fish products,39958300656.77028
EU,Commodity,Tobacco products (16),23112843017.742756
EU,Commodity,Textiles (17),140468868998.2948
EU,Commodity,Wearing apparel; furs (18),126168733937.90189
EU,Commodity,Leather and leather products (19),64309780402.384735
EU,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),170434260305.6645
EU,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
EU,Commodity,Pulp,60580317761.84097
EU,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
EU,Commodity,Paper and paper products,131435554433.28061
EU,Commodity,Printed matter and recorded media (22),283889149652.58716
EU,Commodity,Coke Oven Coke,4664997376.585225
EU,Commodity,Gas Coke,0.0
EU,Commodity,Coal Tar,442092879.67434186
EU,Commodity,Motor Gasoline,142392392021.56238
EU,Commodity,Aviation Gasoline,92246816.588226
EU,Commodity,Gasoline Type Jet Fuel,27693348.904047776
EU,Commodity,Kerosene Type Jet Fuel,20149443052.729885
EU,Commodity,Kerosene,5426062117.311129
EU,Commodity,Gas/Diesel Oil,137552765523.58713
EU,Commodity,Heavy Fuel Oil,22840408449.765728
EU,Commodity,Refinery Gas,686266667.6289132
EU,Commodity,Liquefied Petroleum Gases (LPG),9882222007.981937
EU,Commodity,Refinery Feedstocks,8235473831.119806
EU,Commodity,Ethane,27229337.493063603
EU,Commodity,Naphtha,11298834358.337679
EU,Commodity,White Spirit & SBP,2010578026.858287
EU,Commodity,Lubricants,5916312540.750406
EU,Commodity,Bitumen,3596257263.3168206
EU,Commodity,Paraffin Waxes,618536254.8642813
EU,Commodity,Petroleum Coke,487849312.5275452
EU,Commodity,Non-specified Petroleum Products,2301338039.1258364
EU,Commodity,Nuclear fuel,3948628792.275608
EU,Commodity,"Plastics, basic",303331552972.5691
EU,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
EU,Commodity,N-fertiliser,1132431803.6907463
EU,Commodity,P- and other fertiliser,8176134350.906878
EU,Commodity,Chemicals nec,205534566043.4776
EU,Commodity,Charcoal,199566603.00979158
EU,Commodity,Additives/Blending Components,353855874.10149705
EU,Commodity,Biogasoline,859330319.45227
EU,Commodity,Biodiesels,1771445092.9443269
EU,Commodity,Other Liquid Biofuels,540241713.0669507
EU,Commodity,Rubber and plastic products (25),330985333243.63464
EU,Commodity,Glass and glass products,43486797295.6984
EU,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
EU,Commodity,Ceramic goods,31002443796.717922
EU,Commodity,"Bricks, tiles and construction products, in baked clay",15299090048.185295
EU,Commodity,"Cement, lime and plaster",135279552062.83017
EU,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0
EU,Commodity,Other non-metallic mineral products,45335708300.05056
EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,217470301905.61096
EU,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
EU,Commodity,Precious metals,19533862932.149002
EU,Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
EU,Commodity,Aluminium and aluminium products,70689021915.2309
EU,Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
EU,Commodity,"Lead, zinc and tin and products thereof",12338577785.138136
EU,Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
EU,Commodity,Copper products,67946343685.839294
EU,Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
EU,Commodity,Other non-ferrous metal products,11186903464.047184
EU,Commodity,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
EU,Commodity,Foundry work services,47965521719.13171
EU,Commodity,"Fabricated metal products, except machinery and equipment (28)",591848250592.9701
EU,Commodity,Machinery and equipment n.e.c. (29),768960518491.2781
EU,Commodity,Office machinery and computers (30),113923457358.8129
EU,Commodity,Electrical machinery and apparatus n.e.c. (31),433775936993.721
EU,Commodity,"Radio, television and communication equipment and apparatus (32)",225019751236.08505
EU,Commodity,"Medical, precision and optical instruments, watches and clocks (33)",253825051650.52856
EU,Commodity,"Motor vehicles, trailers and semi-trailers (34)",816530931109.2151
EU,Commodity,Other transport equipment (35),232474622640.95264
EU,Commodity,Furniture; other manufactured goods n.e.c. (36),272883810448.5307
EU,Commodity,Secondary raw materials,33027013305.151634
EU,Commodity,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
EU,Commodity,Electricity by coal,67334236212.78966
EU,Commodity,Electricity by gas,64075102507.817184
EU,Commodity,Electricity by nuclear,65800451378.41904
EU,Commodity,Electricity by hydro,26678799173.710224
EU,Commodity,Electricity by wind,10809669769.831589
EU,Commodity,Electricity by petroleum and other oil derivatives,10321296070.85553
EU,Commodity,Electricity by biomass and waste,9233429374.586397
EU,Commodity,Electricity by solar photovoltaic,997494812.1282271
EU,Commodity,Electricity by solar thermal,31897804.68311253
EU,Commodity,"Electricity by tide, wave, ocean",47695551.10310233
EU,Commodity,Electricity by Geothermal,808112227.3476126
EU,Commodity,Electricity nec,3208123123.451178
EU,Commodity,Transmission services of electricity,44884975266.58719
EU,Commodity,Distribution and trade services of electricity,202285815367.2888
EU,Commodity,Coke oven gas,434796838.03023195
EU,Commodity,Blast Furnace Gas,1588935428.5747552
EU,Commodity,Oxygen Steel Furnace Gas,13988896.680966359
EU,Commodity,Gas Works Gas,158990847.39269167
EU,Commodity,Biogas,3696311038.4022236
EU,Commodity,Distribution services of gaseous fuels through mains,169005810901.8255
EU,Commodity,Steam and hot water supply services,34467641710.58898
EU,Commodity,"Collected and purified water, distribution services of water (41)",71001413331.3617
EU,Commodity,Construction work (45),2025838594716.7378
EU,Commodity,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
EU,Commodity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",335755805860.5617
EU,Commodity,Retail trade services of motor fuel,36889438269.24269
EU,Commodity,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",708301566096.201
EU,Commodity,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",223946167002.7163
EU,Commodity,Hotel and restaurant services (55),924154155007.6815
EU,Commodity,Railway transportation services,195596621211.0561
EU,Commodity,Other land transportation services,669893516901.8378
EU,Commodity,Transportation services via pipelines,18444734448.951355
EU,Commodity,Sea and coastal water transportation services,113220066930.5941
EU,Commodity,Inland water transportation services,10278699734.25497
EU,Commodity,Air transport services (62),198993755915.53192
