,,,EU,EU,EU,EU,EU,EU,EU,RoW,RoW,RoW,RoW,RoW,RoW,RoW,Russia,Russia,Russia,Russia,Russia,Russia,Russia
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
,,,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob)
,Level,,,,,,,,,,,,,,,,,,,,,,
EU,Commodity,Paddy rice,977906210.1322597,4804614.310901363,3552148.704501929,26989.61533230801,21663300.945165407,0.0,0.0,1282018.5477436075,38.26630470901479,2486.1864134024054,0.0,22699.588013060595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Wheat,11131980912.151937,30753319.82086098,185729094.96322957,2808.541635141893,595102432.4476839,0.0,0.0,756269473.9584045,50545088.48550286,642379.4693120162,219.88333448107173,1801220.0352027966,0.0,0.0,0.0,0.0,636.2956549953689,0.0,0.0,0.0,0.0
EU,Commodity,Cereal grains nec,3482560784.84498,6508625.396922507,92257711.75983907,325737.97337897366,712450350.9358472,0.0,0.0,756402710.6882238,87693.75753789708,34276.99067853459,204277.79247982136,2902699.907832451,0.0,0.0,0.0,0.0,223828.3144270853,0.0,0.0,0.0,0.0
EU,Commodity,"Vegetables, fruit, nuts",67594277275.184074,462882256.0037975,872032264.6467795,5388310.335178971,1401847046.5158744,0.0,0.0,7670372334.519312,19659.513257639046,14065.105141670127,117610815.98472562,12967041.999834312,0.0,0.0,85555386.48031002,0.0,939.6735154811682,0.0,2164139.4070968917,0.0,0.0
EU,Commodity,Oil seeds,4076355094.070295,9825002.812640531,27687404.39656264,43199.136581289116,448915884.9318956,0.0,0.0,163393906.41599724,715532.0798111975,307873.1004961476,0.0,2030113.7697784533,0.0,0.0,350883.1405061933,0.0,3112.8130153767224,0.0,145112.6999303543,0.0,0.0
EU,Commodity,"Sugar cane, sugar beet",0.0,0.0,1447317.7680302446,0.0,282686156.2604452,0.0,0.0,87.70087783291405,72.85188188850552,163.41153870050206,0.0,1338.6291776897783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Plant-based fibers,364629621.36233747,80634.37452676517,391015.7494271744,21348.931041300228,4387956.6879205005,0.0,0.0,1440519.1551723036,993787.5533804958,74521.56084627255,1891925.3514016336,904938.7572917824,0.0,0.0,734.7977237149166,0.0,4.564685751855238,0.0,23.98521592022225,0.0,0.0
EU,Commodity,Crops nec,7313604288.108277,24836067.503997646,120970657.47048526,369391028.1709712,361964022.605298,0.0,0.0,2844806433.378271,5667311.753696117,2682831.619305886,191454928.75398207,41265913.345296,0.0,0.0,372631854.55666435,0.0,1625.3214168276088,0.0,40166.60316319799,0.0,0.0
EU,Commodity,Cattle,0.0,0.0,2212511.4755783416,3105080712.5525746,375733298.86282927,0.0,0.0,0.2958050964107508,54.60617225317231,462837414.3445536,200846292.19130182,28072.406058475397,0.0,0.0,0.0,0.0,940053.8730205224,0.0,0.0,0.0,0.0
EU,Commodity,Pigs,0.0,0.0,9038008.517399551,3553685841.354643,1617235459.568562,0.0,0.0,33381.79995144927,477.49887586672605,2506690.429984692,305217975.3148001,1010821.7807679947,0.0,0.0,0.0,0.0,239210.68776694892,0.0,634760.8434178273,0.0,0.0
EU,Commodity,Poultry,19891966839.793396,50306510.47388811,271696960.4614129,675583237.3852152,382857120.52394295,0.0,0.0,120156581.66730414,802.191231141303,14107621.174444506,739214.8995099901,5466434.739980008,0.0,0.0,0.0,0.0,1.3376851686277245,0.0,18.74260754487619,0.0,0.0
EU,Commodity,Meat animals nec,5928666486.570064,21706832.009928815,36178515.70558083,392594143.4336889,156074998.2571373,0.0,0.0,366646722.98651636,5858.28257495931,54511029.90704113,21154896.352107182,110166222.46728414,0.0,0.0,0.0,0.0,3.5673054098159334,0.0,13.026193197848016,0.0,0.0
EU,Commodity,Animal products nec,687893041.9542774,8485315.061816026,10072827.083684912,55155.18623073154,34010274.25238167,0.0,0.0,239118395.08656946,5543.851851736418,11303.012210209303,61968071.60337925,2275936.869762256,0.0,0.0,53688643.70738793,0.0,7269.775187945175,0.0,171300.93971202252,0.0,0.0
EU,Commodity,Raw milk,5091555497.890582,18906662.620896414,269950457.9158249,2289.641206809987,1091455164.0796812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,"Wool, silk-worm cocoons",0.0,0.0,1438493.4963716017,183029.12515691612,29349278.168690823,0.0,0.0,521014.86227574816,77071.65048643514,90683.48516004265,0.0020733093803731867,52072692.254298866,0.0,0.0,0.0,0.0,13495.011298156827,0.0,50198.40260028211,0.0,0.0
EU,Commodity,Manure (conventional treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
