,,unit
Activity,Cultivation of paddy rice,M EUR
Activity,Cultivation of wheat,M EUR
Activity,Cultivation of cereal grains nec,M EUR
Activity,"Cultivation of vegetables, fruit, nuts",M EUR
Activity,Cultivation of oil seeds,M EUR
Activity,"Cultivation of sugar cane, sugar beet",M EUR
Activity,Cultivation of plant-based fibers,M EUR
Activity,Cultivation of crops nec,M EUR
Activity,Cattle farming,M EUR
Activity,Pigs farming,M EUR
Activity,Poultry farming,M EUR
Activity,Meat animals nec,M EUR
Activity,Animal products nec,M EUR
Activity,Raw milk,M EUR
Activity,"Wool, silk-worm cocoons",M EUR
Activity,"Manure treatment (conventional), storage and land application",M EUR
Activity,"Manure treatment (biogas), storage and land application",M EUR
Activity,"Forestry, logging and related service activities (02)",M EUR
Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",M EUR
Activity,Mining of coal and lignite; extraction of peat (10),M EUR
Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",M EUR
Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",M EUR
Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",M EUR
Activity,Mining of uranium and thorium ores (12),M EUR
Activity,Mining of iron ores,M EUR
Activity,Mining of copper ores and concentrates,M EUR
Activity,Mining of nickel ores and concentrates,M EUR
Activity,Mining of aluminium ores and concentrates,M EUR
Activity,Mining of precious metal ores and concentrates,M EUR
Activity,"Mining of lead, zinc and tin ores and concentrates",M EUR
Activity,Mining of other non-ferrous metal ores and concentrates,M EUR
Activity,Quarrying of stone,M EUR
Activity,Quarrying of sand and clay,M EUR
Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",M EUR
Activity,Processing of meat cattle,M EUR
Activity,Processing of meat pigs,M EUR
Activity,Processing of meat poultry,M EUR
Activity,Production of meat products nec,M EUR
Activity,Processing vegetable oils and fats,M EUR
Activity,Processing of dairy products,M EUR
Activity,Processed rice,M EUR
Activity,Sugar refining,M EUR
Activity,Processing of Food products nec,M EUR
Activity,Manufacture of beverages,M EUR
Activity,Manufacture of fish products,M EUR
Activity,Manufacture of tobacco products (16),M EUR
Activity,Manufacture of textiles (17),M EUR
Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),M EUR
Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",M EUR
Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",M EUR
Activity,Re-processing of secondary wood material into new wood material,M EUR
Activity,Pulp,M EUR
Activity,Re-processing of secondary paper into new pulp,M EUR
Activity,Paper,M EUR
Activity,"Publishing, printing and reproduction of recorded media (22)",M EUR
Activity,Manufacture of coke oven products,M EUR
Activity,Petroleum Refinery,M EUR
Activity,Processing of nuclear fuel,M EUR
Activity,"Plastics, basic",M EUR
Activity,Re-processing of secondary plastic into new plastic,M EUR
Activity,N-fertiliser,M EUR
Activity,P- and other fertiliser,M EUR
Activity,Chemicals nec,M EUR
Activity,Manufacture of rubber and plastic products (25),M EUR
Activity,Manufacture of glass and glass products,M EUR
Activity,Re-processing of secondary glass into new glass,M EUR
Activity,Manufacture of ceramic goods,M EUR
Activity,"Manufacture of bricks, tiles and construction products, in baked clay",M EUR
Activity,"Manufacture of cement, lime and plaster",M EUR
Activity,Re-processing of ash into clinker,M EUR
Activity,Manufacture of other non-metallic mineral products n.e.c.,M EUR
Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,M EUR
Activity,Re-processing of secondary steel into new steel,M EUR
Activity,Precious metals production,M EUR
Activity,Re-processing of secondary preciuos metals into new preciuos metals,M EUR
Activity,Aluminium production,M EUR
Activity,Re-processing of secondary aluminium into new aluminium,M EUR
Activity,"Lead, zinc and tin production",M EUR
Activity,"Re-processing of secondary lead into new lead, zinc and tin",M EUR
Activity,Copper production,M EUR
Activity,Re-processing of secondary copper into new copper,M EUR
Activity,Other non-ferrous metal production,M EUR
Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,M EUR
Activity,Casting of metals,M EUR
Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",M EUR
Activity,Manufacture of machinery and equipment n.e.c. (29),M EUR
Activity,Manufacture of office machinery and computers (30),M EUR
Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),M EUR
Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",M EUR
Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",M EUR
Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",M EUR
Activity,Manufacture of other transport equipment (35),M EUR
